Firms,Previous Position,Popularity Ranking,Previous Week,Revenue Generated,% Change,Previous Week,Current Week,Count of added favorite votes,% Added,Previous Week,Traffic,% Increase,% Share,PFM Rating,W12,W11
FundingPips,1,1,"$98,870","$90,210",-8.76%,24214,25055,841,3.47%,10693,9302,-13.01%,6.49%,4.4,,
The5ers,2,2,$0,"$23,950",0.00%,22980,23613,633,2.75%,16189,15439,-4.63%,10.78%,4.8,,
Alpha Capital,3,3,"$69,620","$69,490",-0.19%,8029,8370,341,4.25%,10314,9307,-9.76%,6.50%,4.4,,
FundedNext,5,4,"$27,287","$28,166",3.22%,14445,15246,801,5.55%,14680,12811,-12.73%,8.94%,4.5,,
E8 Markets,4,5,"$48,120","$36,540",-24.06%,4591,4783,192,4.18%,7238,6932,-4.23%,4.84%,4.8,,
Maven,6,6,"$40,733","$36,092",-11.39%,8970,9356,386,4.30%,9816,9076,-7.54%,6.33%,4.3,,
FTMO,7,7,$0,$0,0.00%,20135,20875,740,3.68%,7957,7059,-11.29%,4.93%,4.6,,
QT Funded,9,8,"$41,453","$36,467",-12.03%,5462,5749,287,5.25%,12433,10952,-11.91%,7.64%,4.1,,
BrightFunded,10,9,"$18,440","$29,507",60.02%,3451,3509,58,1.68%,4555,3922,-13.90%,2.74%,4.5,,
OANDA Prop Trader,8,10,"$15,842","$12,333",-22.15%,1148,1257,109,9.49%,4796,4755,-0.85%,3.32%,4.8,,
For Traders,12,11,"$5,507","$2,280",-58.60%,2389,2520,131,5.48%,2179,2069,-5.05%,1.44%,4.7,,
AquaFunded,13,12,"$6,251","$9,961",59.35%,4604,4966,362,7.86%,3863,2736,-29.17%,1.91%,4.5,,
Breakout,14,13,"$4,840","$6,960",43.80%,1141,1151,10,0.88%,919,925,0.65%,0.65%,4.6,,
SeacrestFunded,15,14,"$6,407","$4,973",-22.38%,2497,2600,103,4.12%,883,1017,15.18%,0.71%,4.3,,
City Traders Imperium,16,15,$0,$0,0.00%,1798,1841,43,2.39%,937,1089,16.22%,0.76%,4.5,,
Instant Funding,18,16,"$11,160","$14,256",27.74%,4213,4514,301,7.14%,6169,7127,15.53%,4.97%,4,,
Blueberry Funded,11,17,"$11,853","$8,293",-30.04%,6815,7261,446,6.54%,6920,7606,9.91%,5.31%,4,,
FundedTrading Plus,17,18,"$3,470","$5,350",54.18%,1857,1916,59,3.18%,1979,1663,-15.97%,1.16%,4.3,,
Fintokei,20,19,"$7,050","$11,810",67.52%,2093,2110,17,0.81%,391,402,2.81%,0.28%,4.4,,
Blue Guardian,19,20,"$9,433","$11,347",20.29%,3418,3673,255,7.46%,3633,3414,-6.03%,2.38%,4,,
,,,,,,,,,,CFD TOTAL VISITS,"143,284",,,,,
,,,,,,,,,,PFM TOTAL VISITS,"169,031",,,,,
,,,,,,,,,,PFM TOTAL VIEWS,"824,768",,,,,
,,,,,,,,,,,,,,,,
September 5,September 11,,,,,,,,,,,,,,,
