Firms,Previous Position,Popularity Ranking,Previous Week,Revenue Generated,% Change,Previous Week,Current Week,Count of added favorite votes,% Added,Previous Week,Traffic,% Increase,% Share,PFM Rating,W13,W12
My Funded Futures,1,1,"$63,754","$54,066",-15.20%,4869,5312,443,9.10%,3827,2690,-29.71%,14.57%,4.6,,
Top One Futures,4,2,"$21,367","$45,067",110.92%,2877,3418,541,18.80%,2418,1692,-30.02%,9.16%,4.8,,
Alpha Futures,2,3,"$20,922","$20,118",-3.84%,5723,5805,82,1.43%,2787,1890,-32.19%,10.23%,4.9,,
Topstep,3,4,"$15,333","$15,333",0.00%,4639,5020,381,8.21%,3373,2423,-28.16%,13.12%,4.4,,
Apex Trader Funding,5,5,"$9,607","$10,882",13.27%,4148,4480,332,8.00%,3053,2211,-27.58%,11.97%,3.7,,
FundingTicks,6,6,"$4,140","$4,261",2.92%,4942,5417,475,9.61%,1886,1787,-5.25%,9.68%,4.5,,
Tradeify,7,7,"$9,640","$14,340",48.76%,1924,2129,205,10.65%,1624,1076,-33.74%,5.83%,4.8,,
FundedNext Futures,8,8,$0,$0,0.00%,5108,5687,579,11.34%,1740,1115,-35.92%,6.04%,3.5,,
AquaFutures,9,9,"$11,873","$6,827",-42.50%,1759,2009,250,14.21%,922,692,-24.95%,3.75%,4.1,,
Take Profit Trader,10,10,"$5,133","$5,900",14.94%,1536,1683,147,9.57%,1381,1001,-27.52%,5.42%,3.5,,
,,,,,,,,,,FUTURES TOTAL VISITS,"18,468",,,,,
,,,,,,,,,,PFM TOTAL VISITS,"119,734",,,,,
September 12,,September 18,,,,,,,,PFM TOTAL VIEWS,"723,050",,,,,
